Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Steering,Throttle,Brake,LocalVelX,LocalVelY,LocalVelZ,AccLat,AccLong,AccVert,Yaw,Pitch,Roll,DistFromIdeal,Curva,LapTime
271.94,-18.294,0.026,-24.348,36.067,-0.043,1.768,0.000,1.000,0.000,0.150,-0.255,36.109,1.321,-3.186,0.481,86.949,359.666,0.911,4.260,,0.02
271.96,-17.573,0.027,-24.291,36.040,0.047,2.061,0.000,1.000,0.000,-0.149,-0.187,36.098,-14.813,4.104,-0.575,86.972,359.634,358.465,4.497,,0.04
271.98,-16.852,0.026,-24.262,36.056,-0.037,1.949,0.167,1.000,0.000,-0.041,-0.253,36.108,5.635,-4.205,0.516,86.971,359.657,359.987,4.811,,0.06
272.00,-16.130,0.027,-24.235,36.057,0.004,1.825,0.167,1.000,0.000,0.123,-0.217,36.102,6.248,1.868,-0.287,86.899,359.655,1.456,5.204,,0.08
272.02,-15.410,0.027,-24.178,36.038,0.026,2.091,0.167,1.000,0.000,-0.129,-0.204,36.097,-13.371,0.912,-0.252,86.889,359.638,359.045,5.683,,0.10
272.04,-14.689,0.026,-24.137,36.052,-0.048,2.089,0.235,1.000,0.000,-0.152,-0.259,36.111,0.196,-3.722,0.700,86.929,359.669,359.185,6.199,,0.12
272.06,-13.967,0.027,-24.117,36.056,0.046,1.776,0.235,1.000,0.000,0.148,-0.187,36.099,15.781,4.261,-0.597,86.937,359.636,1.641,6.742,,0.14
272.08,-13.247,0.026,-24.069,36.060,-0.031,1.846,0.167,1.000,0.000,0.027,-0.247,36.106,-3.479,-3.877,0.321,87.027,359.657,0.013,7.329,,0.16
272.10,-12.526,0.027,-24.020,36.054,0.009,1.919,0.167,1.000,0.000,-0.142,-0.212,36.104,-3.732,1.936,-0.091,87.186,359.655,358.586,7.940,,0.18
272.12,-11.804,0.027,-24.006,36.062,0.030,1.522,0.167,1.000,0.000,0.164,-0.202,36.094,19.897,0.611,-0.501,87.317,359.638,1.238,8.552,,0.20
